statedistrict,datetime,tempmax,tempmin,temp,humidity,rainsum,rain,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunset,moonphase,conditions,description,icon,country
colombo,1997-01-31,28.3,22.4,25.3,76.9,0.0,False,False,,,24.4,7.7,1009.0,52.4,18.1,,,,06:59:20,18:49:00,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,Sri Lanka
colombo,1997-02-01,29.0,21.4,25.8,71.1,0.0,False,False,,,21.2,346.5,1009.6,45.7,21.0,,,,06:59:20,18:49:18,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,Sri Lanka
colombo,1997-02-02,30.1,20.1,24.5,74.2,0.0,False,False,,,13.7,305.2,1009.4,10.3,17.0,,,,06:59:19,18:49:34,0.82,Clear,Clear conditions throughout the day.,clear-day,Sri Lanka
colombo,1997-02-03,29.1,17.7,24.3,69.9,0.0,False,False,,,15.0,294.8,1008.5,27.9,16.5,,,,06:59:17,18:49:50,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,Sri Lanka
colombo,1997-02-04,30.4,21.1,25.0,80.7,0.0,False,False,,,18.1,281.5,1008.3,32.3,18.8,,,,06:59:14,18:50:05,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,Sri Lanka
colombo,1997-02-05,30.6,29.6,30.1,66.5,0.0,False,False,,,18.7,273.0,1008.3,65.0,20.4,,,,06:59:10,18:50:19,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,Sri Lanka
colombo,1997-02-06,29.1,23.9,26.4,86.9,79.596,True,False,,,14.8,233.8,1010.3,72.3,16.7,,,,06:59:05,18:50:33,0.95,Rain Partially cloudy,Partly cloudy throughout the day with rain.,rain,Sri Lanka
colombo,1997-02-07,28.2,24.9,26.6,85.8,54.0,True,False,,,15.3,321.0,1009.9,48.6,19.2,,,,06:58:59,18:50:46,0.0,Rain Partially cloudy,Partly cloudy throughout the day with early morning rain.,rain,Sri Lanka
colombo,1997-02-08,31.4,21.4,26.5,74.9,0.0,False,False,,,23.1,18.3,1009.6,41.5,20.2,,,,06:58:52,18:50:58,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,Sri Lanka
colombo,1997-02-09,30.1,20.4,25.6,74.5,0.0,False,False,,,11.7,248.6,1009.1,26.1,21.0,,,,06:58:45,18:51:10,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,Sri Lanka
colombo,1997-02-10,30.0,22.7,26.9,78.9,0.0,False,False,,,18.7,256.8,1009.2,50.0,18.6,,,,06:58:36,18:51:21,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,Sri Lanka
colombo,1997-02-11,30.0,23.2,26.9,76.0,0.0,False,False,,,15.6,273.4,1010.2,15.7,18.7,,,,06:58:27,18:51:31,0.12,Clear,Clear conditions throughout the day.,clear-day,Sri Lanka
colombo,1997-02-12,30.3,20.2,25.4,73.0,0.0,False,False,,,19.7,325.9,1010.6,37.9,19.2,,,,06:58:16,18:51:41,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,Sri Lanka
colombo,1997-02-13,29.3,22.4,26.8,66.8,0.0,False,False,,,18.9,334.1,1010.5,35.2,24.9,,,,06:58:05,18:51:50,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,Sri Lanka
colombo,1997-02-14,31.0,22.7,27.1,64.8,0.0,False,False,,,37.1,6.5,1009.1,27.4,21.3,,,,06:57:53,18:51:58,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,Sri Lanka
colombo,1997-02-15,29.5,21.7,26.3,70.3,0.0,False,False,,,26.7,346.3,1009.1,35.7,18.2,,,,06:57:40,18:52:05,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,Sri Lanka
